idx,cer_before,cer_after,len_before,len_after,gt_before,gt_after,pr_before,pr_after,cer_delta_after_minus_before
0,1.3333,1.0,6,3,吞口水都会疼,老人家,有后候觉得都复不够,牙老间,-0.33329999999999993
1,1.1667,1.0,6,4,脑袋有点发蒙,指头那里,脑一会突然抖一下,急直头这的,-0.16670000000000007
2,1.1429,1.0,7,2,老是往上冒酸味,能忍,吃一点就觉得顶着,间骨,-0.14290000000000003
3,1.1111,0.8,9,5,心跳节奏感觉不太对,有抽烟习惯,有时候胸前会一阵刺痛,有有个西的,-0.31109999999999993
4,1.0,0.8,7,5,喉咙总是干干的,腹股沟那里,吞口水都会疼,过过里,-0.19999999999999996
5,1.0,0.8,8,5,身体会突然抖一下,吞咽时会痛,走几步腿就软,腿一颜时会疼,-0.19999999999999996
6,1.0,0.8,5,5,刚生完孩子,担心是骨折,始嗡直,刚身是色,-0.19999999999999996
7,1.0,0.75,9,8,痰积在喉咙里很难受,坐着不动也会出汗,每天都会咳出痰来,作了不疼一加会出下,-0.25
8,1.0,0.75,5,4,吞咽时会痛,不算厉害,块严夜时就会疼,不睡的下,-0.25
9,1.0,0.75,4,4,有家族史,做过彩超,有加子作次,做这吃差,-0.25
10,1.0,0.75,11,4,手指像被电了一下麻麻的,用过喷剂,感觉周围在晃,过很西,-0.25
11,1.0,0.75,2,4,能忍,体温升高,想不,里位人高,-0.25
12,1.0,0.75,6,4,手腕转动会疼,全身无力,这个部位动不了,全,-0.25
13,0.8947,0.75,19,4,昨天晚上烧到将近[UNK][UNK]度,小腿那里,做都完上小了加尿三始手度,少得那,-0.14470000000000005
14,0.8889,0.7143,9,7,量出来血压比平时低,看近处字不清楚,最近血压读数都偏高,嘴前区不清,-0.17459999999999998
15,0.8571,0.7143,7,7,说一会儿话就累,医生判断是肠炎,说声音会显变低了,医生排得时常炎也,-0.14279999999999993
16,0.8571,0.7143,7,7,一直没完全恢复,检查说骨质疏松,一没有胃觉会复服,肩查说鼓几数肿,-0.14279999999999993
17,0.8333,0.6667,6,3,吃什么都不香,小孩子,吃马老么着头不响,小汗,-0.16660000000000008
18,0.8333,0.6667,6,3,背靠下的位置,打过针,半好下过围时,打不中,-0.16660000000000008
19,0.8,0.6667,5,6,有抽烟习惯,一按肚子就哭,有抽有的吸的,没饮影都子就哭,-0.13330000000000009
20,0.8,0.6667,5,6,头转得厉害,昨天吐了两次,老哭觉得害,作点吐个两始,-0.13330000000000009
21,0.8,0.6667,5,12,腹股沟那里,昨天晚上烧到将近三十九度,腹无更根了里,都晚上小了想影三始手度,-0.13330000000000009
22,0.8,0.6667,5,9,腹股沟那里,头疼得像要炸开一样,肤复过那厉,脑这疼得像眨开了一,-0.13330000000000009
23,0.8,0.6667,5,6,休息了一下,背靠下的位置,手起出拉一下,半靠下个月受,-0.13330000000000009
24,0.7778,0.6364,9,11,头疼得像要炸开一样,手指像被电了一下麻麻的,脑个疼得想像候饭开害了一样,手子像被前来麻慢里,-0.14140000000000008
25,0.75,0.625,8,8,痰颜色发白还挺黏,身体会突然抖一下,痰出发的还偏尿痰,心里会突很抖害,-0.125
26,0.75,0.625,4,8,指头那里,光线强就睁不开眼,直突过里,热上胀就肿不开也,-0.125
27,0.75,0.625,4,8,用过喷剂,孩子一直闹腾不安,过很结,孩近直自没得不安,-0.125
28,0.75,0.625,4,8,体温升高,皮肤好像比以前薄,比没人高,皮肤好上皮前有脖,-0.125
29,0.75,0.6,4,10,腰靠中间,视野变窄同时视线闪光,有中前,视变这同食时现三光,-0.15000000000000002
30,0.75,0.6,4,5,下颚这里,腹股沟那里,过这一,腹表那下里,-0.15000000000000002
31,0.6667,0.6,3,5,背上方,不愿意吃饭,背白上,不越咽饭,-0.06669999999999998
32,0.6667,0.6,3,5,老人家,尿的时候疼,老干,尿不路疼,-0.06669999999999998
33,0.6667,0.6,6,5,睡到半夜醒来,休息了一下,不到伴觉人来,手吃拉一下,-0.06669999999999998
34,0.6667,0.6,6,5,今天早上才有,家里人也有,心天躁高上在有,家得痒有,-0.06669999999999998
35,0.6667,0.5882,6,17,今天早上才有,最近老觉得身上发冷就算盖被子也不暖,今年查了在有,最近脑觉得上发能又上感肢眼不卵,-0.07850000000000001
36,0.625,0.5882,8,17,孩子一直闹腾不安,这两天体温一直偏高大概三十八度左右,孩近子老动不安,喉两天体一直偏高抬间三起排路昨又要,-0.036800000000000055
37,0.6,0.5833,5,12,平时锻炼少,心脏那块偶尔会针扎一样疼,平时断量,心那块微会总那也痒疼,-0.016699999999999937
38,0.6,0.5714,5,7,尿的时候疼,两条腿摸着冰凉,尿不烧子疼,脸头腿摸着害,-0.02859999999999996
39,0.6,0.5714,5,7,刚生完孩子,每到换季就这样,刚始个子,没到会气就过样,-0.02859999999999996
40,0.6,0.5714,5,7,家里人也有,医生怀疑是甲亢,家得压有,医生怀易加汗,-0.02859999999999996
41,0.5833,0.5714,12,7,这几天整个人都没劲不想动,会不会有后遗症,几身的人动没劲不下疼,会不会要过意阵,-0.011900000000000022
42,0.5714,0.5714,7,7,有时候几乎没有,之前有类似情况,有时服没特,之前有内时劲,0.0
43,0.5714,0.5714,7,7,每到换季就这样,胃里像着火一样,每到会几急就过样,里脚火样,0.0
44,0.5714,0.5714,7,7,会不会有后遗症,老是往上冒酸味,会不会过一阵,那是完上么酸微,0.0
45,0.5714,0.5714,7,7,会不会影响寿命,看近处字不清楚,会不一影显受鸣,看情处持不,0.0
46,0.5714,0.5714,7,7,之前有类似情况,多汗伴盗汗明显,之前有累时劲,多上伴到上鸣显,0.0
47,0.5714,0.5556,7,9,会不会影响身体,突然心跳加速很害怕,会不会好生低,吐来心跳加说很还快,-0.015800000000000036
48,0.5714,0.5455,7,11,看近处字不清楚,一阵一阵打冷颤浑身发抖,看情区处持不清,一阵重打冷颤,-0.025900000000000034
49,0.5714,0.5,7,4,会不会拖成大病,没有精神,会会疼痛子大病,浑有近神,-0.07140000000000002
50,0.5714,0.5,7,4,一直没完全恢复,偏右一点,一上没晚觉恢服,偏一右就点,-0.07140000000000002
51,0.5714,0.5,7,4,走一段路腿就疼,打过疫苗,头一动动腿住疼,打过一面,-0.07140000000000002
52,0.5714,0.5,7,6,看近处字不清楚,比别人更怕热,最近区重不清,比变过更下热,-0.07140000000000002
53,0.5455,0.5,11,4,一阵一阵打冷颤浑身发抖,说话含糊,一阵一阵打发眼冷在,说寒糊,-0.045499999999999985
54,0.5263,0.5,19,4,有点低烧差不多[UNK][UNK]度多,鼻腔里疼,有点低烧差不多三气度多,鼻干里,-0.02629999999999999
55,0.5,0.5,4,8,没有精神,耳朵像进水一样闷,骨有近神,耳都像水样吗,0.0
56,0.5,0.5,4,12,小便带血,有点低烧差不多三十七度多,小便大,有点低跳到不头三起气吐多,0.0
57,0.5,0.5,4,4,小腹这里,小腹偏右,小敷过里,小会偏,0.0
58,0.5,0.5,4,6,偏右一点,看远处很费劲,口有一点,还处很会劲,0.0
59,0.5,0.5,4,8,打过疫苗,小便带血却没有疼,打过一面,小便带血却无没无无没疼,0.0
60,0.5,0.5,6,6,比别人更怕热,睡到半夜醒来,比变过更下热,睡着年醒来,0.0
61,0.5,0.5,4,6,说话含糊,有点加重趋势,说话下复,有点加重的区稀,0.0
62,0.5,0.5,6,4,医院看过一次,腰靠中间,院看次,有腰靠痛中间,0.0
63,0.5,0.5,6,4,看远处很费劲,不算厉害,还处很会劲,骨酸厉害,0.0
64,0.5,0.5,6,4,伤口容易渗血,手指发麻,想口咙易渗,手时话麻,0.0
65,0.5,0.5,4,8,不太正常,一直觉得心烦气躁,不太近,一直觉得身发起眨,0.0
66,0.5,0.5,8,4,肠胃不好又没食欲,下颚这里,长胃不好没事,腹这里,0.0
67,0.5,0.5,4,8,不算厉害,血压偏低又老犯困,不睡害,血压偏低还脑发睡,0.0
68,0.5,0.5,4,10,喝过凉茶,医院说属于流行性感冒,喝过的在,一院说属一流人人感吗,0.0
69,0.5,0.5,6,4,有点加重趋势,有点麻烦,有点加重个处气,又点麻,0.0
70,0.5,0.5,4,4,做过彩超,情绪紧张,做过喝差,情出近张,0.0
71,0.5,0.5,4,2,手腕这里,腰酸,胃这里,酸,0.0
72,0.5,0.4545,6,11,吸气时胸部疼,先是肚子胀气后来肚子疼,急气时胸不痛,显时之胀气一来肚子疼,-0.045499999999999985
73,0.5,0.4444,6,9,一按肚子就哭,脖子这老毛病颈椎病,一眼肚一子就突,子个老毛病整病,-0.05559999999999998
74,0.5,0.4444,8,9,一阵持续十几分钟,照镜子发现嘴有点歪,一持续近分觉,要近肢发现最有点歪,-0.05559999999999998
75,0.5,0.4444,4,9,手指发麻,眼皮跳动还频繁眨眼,手子话发麻,眼皮咳动还并繁眨着眼眼,-0.05559999999999998
76,0.5,0.4444,6,9,一按肚子就哭,鼻涕多嗓子也不舒服,影都子就哭,鼻涕嗓不舒,-0.05559999999999998
77,0.5,0.4444,8,9,皮肤好像比以前薄,耳朵里有液体流出来,皮肤好响皮比前有薄,耳朵里有一涕出了,-0.05559999999999998
78,0.5,0.4286,6,7,今天比昨天久,有时候几乎没有,今跳比天,有候肌服没有,-0.07140000000000002
79,0.5,0.4286,6,7,最近特别能吃,刚吃完又觉得饿,最近别冷嗽,感完又觉得没,-0.07140000000000002
80,0.5,0.4286,8,7,血压偏低又老犯困,回答问题反应慢,血压偏低还头睡,会到么问题反应慢,-0.07140000000000002
81,0.5,0.4286,4,7,有点麻烦,会不会影响寿命,有点慢了,会不一影响受敏,-0.07140000000000002
82,0.5,0.4286,4,7,小腿那里,总是不自觉流泪,烧那里,总食不子觉流来,-0.07140000000000002
83,0.5,0.4286,4,7,情绪紧张,最近闻不到味道,情出紧,最近过不到胃动,-0.07140000000000002
84,0.5,0.4286,4,7,两边都有,说一会儿话就累,两点头有,说一会发就乱,-0.07140000000000002
85,0.4444,0.4286,9,7,皮肤瘀斑伴皮下淤青,会不会影响身体,皮肤斑伴下瘀清,会不会很身低,-0.015800000000000036
86,0.4444,0.4286,9,7,突然心跳加速很害怕,一直没完全恢复,突来心跳加说很还,一直没有完觉就恢复,-0.015800000000000036
87,0.4444,0.4286,9,7,步态异常还行走缓慢,需要观察几天吗,不害一常还行种缓慢,需要关查天吗,-0.015800000000000036
88,0.4444,0.4286,9,7,觉得脖子好像变粗了,这次经期特别长,感觉脖子好想变粗着,这是经气特别降,-0.015800000000000036
89,0.4444,0.4286,9,7,排尿中断还夜间尿急,喉咙有东西卡着,伴中团还夜间急,喉咙都西卡了,-0.015800000000000036
90,0.4444,0.4167,9,12,吐出来后还是肚子疼,白天还好一到晚上就憋气醒,吐出然还又时肚子疼,白上好到晚上憋气心,-0.027700000000000002
91,0.4286,0.4,7,10,刚吃完又觉得饿,起水疱又皮肤过敏反应,感吃完又转得么,涕最疱又皮肤这反应,-0.02859999999999996
92,0.4286,0.4,7,5,平时身体还可以,需要忌口吗,平时深体还火,胸需要急口吗,-0.02859999999999996
93,0.4286,0.4,7,5,回答问题反应慢,头转得厉害,会到问嚏反应慢,老不转得厉害,-0.02859999999999996
94,0.4286,0.4,7,5,需要观察几天吗,没有过敏史,需要管了几吗,没有这过史,-0.02859999999999996
95,0.4286,0.4,7,5,会不会拖成大病,刚生完孩子,不会拖近大停,刚时个孩子,-0.02859999999999996
96,0.4286,0.4,7,10,喉咙有东西卡着,吐出来的东西颜色很深,喉肚有都西卡了,个吃的东西严色很深,-0.02859999999999996
97,0.4167,0.4,24,5,这两天体温一直偏高大概[UNK][UNK]度左右,一阵一阵的,这两天体温一直偏高大概三快度左右,一前一阵力,-0.016699999999999993
98,0.4,0.4,5,5,药快吃完了,痛得受不了,又块吃完了,睡得受不,0.0
99,0.4,0.4,5,5,以前也有过,吃过止咳药,以前过,刺过直咳药,0.0
100,0.4,0.4,5,10,自己买药吃,鼻子堵住说话都有鼻音,自买药,鼻子堵住说话冷都皮肤,0.0
101,0.4,0.3846,5,13,一阵一阵的,本来不发烧了现在又浑身发冷,一就一阵得,风上不发烧着又得又浑身发冷,-0.015400000000000025
102,0.4,0.375,5,8,吃过止咳药,痰颜色发白还挺黏,刺过子咳药,痰眼色发白还挺年夜,-0.025000000000000022
103,0.4,0.375,5,8,身上起红点,需要进一步检查吗,水上红点,需要情不检查吗,-0.025000000000000022
104,0.4,0.375,5,8,没按时吃药,医院讲我是冠心病,没时吃,医院说是过心病,-0.025000000000000022
105,0.375,0.375,8,8,需要进一步检查吗,医院讲胃上有溃疡,需要情不检查吗,医院长胃高得有溃疡,0.0
106,0.375,0.375,8,8,眼睛干但见光刺眼,眼睛干眨眼都难受,眼睛干但光子,眼睛干早眼眼都来受,0.0
107,0.375,0.375,8,8,有一瞬间眼前一黑,恐慌发作还心跳快,有以时眼前一黑,昏发灼还心跳快,0.0
108,0.3333,0.375,3,8,喝奶少,有一瞬间眼前一黑,吃奶少,有隐时眼前一黑,0.041700000000000015
109,0.3333,0.375,3,8,背中间,说我有点骨质疏松,白中间,说我有点骨子数作,0.041700000000000015
110,0.3333,0.3529,6,17,里面一块区域,最近总是发冷比别人穿得多还是觉得冷,里面一区,最近肿是发冷并变个腔能多还是觉得冷,0.019600000000000006
111,0.3333,0.3333,3,3,要紧吗,喝奶少,要性吗,吃奶少,0.0
112,0.3333,0.3333,3,6,严重吗,口气比以前重,年重吗,口起比前重,0.0
113,0.3333,0.3333,3,3,手掌心,背中间,手长心,半中间,0.0
114,0.3333,0.3333,3,3,小孩子,背上方,脚孩子,背上慌,0.0
115,0.3333,0.3333,3,6,没食欲,吞口水都会疼,食欲,痛口睡都会疼,0.0
116,0.3333,0.3333,3,6,脑袋疼,掉皮但不发痒,脑不疼,鼻但不发痒,0.0
117,0.3333,0.3333,3,6,打过针,里面一块区域,打过肿,里面块区,0.0
118,0.3333,0.3333,6,3,会不会很危险,要紧吗,会不会很胃醒,眼要紧吗,0.0
119,0.3333,0.3333,3,6,小腿肚,医院看过一次,小腿左,医院看这次,0.0
120,0.3333,0.3333,3,6,刚出院,伤口容易渗血,刚处院,想口咙易渗血,0.0
121,0.3333,0.3333,6,9,医院看过一次,量出来血压比平时低,一院看过次,连出来血压比皮是低,0.0
122,0.3333,0.3333,9,9,稍微一动就大量出汗,痰积在喉咙里很难受,稍微一疼就大两出还,抬在喉咙量很难受,0.0
123,0.3333,0.3333,3,3,刚出院,严重吗,刚处院,年重吗,0.0
124,0.3,0.3333,10,6,背部僵硬还肩关节卡顿,脑袋有点发蒙,背部僵硬还说节卡动,脑袋有点话吗,0.033299999999999996
125,0.2857,0.3333,7,6,要不要住院治疗,一天拉很多次,要不要住治两,一天那很次,0.047599999999999976
126,0.2857,0.3333,7,12,说话含糊还嘴歪,伤口反复感染伴伤口愈合慢,说话含复还嘴,僵口慌复感间伴伤口合慢,0.047599999999999976
127,0.2857,0.3333,7,3,小便时有烧灼感,手掌心,小便时有小突感,手心,0.047599999999999976
128,0.2857,0.3333,7,6,一直咳但痰发白,一阵特别厉害,一直痰痰发白,一阵别鼻害,0.047599999999999976
129,0.2857,0.3333,7,9,腿上血管鼓起来,心跳节奏感觉不太对,胃血管鼓起来,心跳折候觉不太对,0.047599999999999976
130,0.2857,0.3333,7,9,小腿会突然抽筋,晚上骨头疼得更明显,小腿会突然来抽劲,晚上骨都痛更明显,0.047599999999999976
131,0.2857,0.3333,7,3,咳血丝但不发烧,没食欲,咳刺但不发烧,牙食欲,0.047599999999999976
132,0.2857,0.3333,7,6,反复发作好几次,吃什么都不香,反复发躁好几刺,吃什么头不伤,0.047599999999999976
133,0.2857,0.3333,7,3,一直哭又不吃奶,脑袋疼,一直不吃奶,老袋疼,0.047599999999999976
134,0.2857,0.3333,7,9,一直没完全恢复,步态异常还行走缓慢,直没完觉恢复,不害意常还行走缓慢,0.047599999999999976
135,0.2857,0.3333,7,9,一直哭还喝奶少,觉得脖子好像变粗了,一直哭还吃奶少又,感觉子好像变粗了,0.047599999999999976
136,0.2857,0.3333,7,9,最近特别容易烦,拉稀之后肚子还胀气,最近特别容易一大,拉稀子候肚上还胀气,0.047599999999999976
137,0.2857,0.3333,7,6,最近特别爱喝水,皮肤开始脱皮,最近特别吃水,皮肤开子痛皮,0.047599999999999976
138,0.2727,0.3333,11,6,上完厕所还觉得没排干净,会不会很危险,上厕所还转得没排感净,会不会很胃醒,0.06059999999999999
139,0.2727,0.3333,11,9,胃里反酸水又胸口烧得慌,排尿中断还夜间尿急,胃里反酸水胸口颜又烧得慌,排尿中团还夜间气,0.06059999999999999
140,0.25,0.3333,8,3,脸部会自己抽一下,刚出院,脸部会直几抽一下,刚处院,0.08329999999999999
141,0.25,0.3333,4,6,膝盖周围,最近特别能吃,膝盖周,最近别能示,0.08329999999999999
142,0.25,0.3333,4,9,夜里出汗,晚上起夜多又老犯困,里出汗,腿缓上起压多又老犯困,0.08329999999999999
143,0.25,0.3333,4,9,心里发慌,稍微一动就大量出汗,听里发慌,稍微一疼就大两出上,0.08329999999999999
144,0.25,0.3333,4,6,鼻子里面,手腕转动会疼,鼻子后面,手腕全动会痛,0.08329999999999999
145,0.25,0.3333,4,6,小便带血,今天早上才有,小便大血,今天早况在有,0.08329999999999999
146,0.25,0.3333,4,3,小腹偏右,刚出院,小腹偏,刚处院,0.08329999999999999
147,0.25,0.3,4,10,上面一点,月经紊乱加上脱发明显,上面点,月经温乱加上拖话明显,0.04999999999999999
148,0.25,0.3,4,10,左边胸口,手脚突然没力气站不稳,左微胸口,手就抖然没力气查不稳,0.04999999999999999
149,0.25,0.3,4,10,睡眠不好,肚子不舒服饭也吃不下,睡不好,肚子不舒复发一吃不下,0.04999999999999999
150,0.25,0.3,4,10,比昨天重,记忆混乱并且记性变差,比作天重,记音浑乱并且急性变差,0.04999999999999999
151,0.25,0.3,4,10,身体发烫,背部僵硬还肩关节卡顿,心体发烫,背部僵硬还僵说节卡动,0.04999999999999999
152,0.25,0.2857,8,7,刚恢复没多久又犯,要不要住院治疗,刚恢复没都久又,要不要住治两,0.03570000000000001
153,0.25,0.2857,8,7,痰发黄还鼻子发痒,说话含糊还嘴歪,痰发发黄鼻子发痒,说话含复还嘴,0.03570000000000001
154,0.25,0.2857,4,7,眼睛发红,喉咙总是干干的,眼睛发,喉咙总时感干的,0.03570000000000001
155,0.25,0.2857,8,7,这两个月特别明显,平时身体还可以,这两个特别明,平时心体还可,0.03570000000000001
156,0.25,0.2857,4,7,抹过药膏,吃东西卡在喉咙,嗡过药膏,吃东西卡才后咙,0.03570000000000001
157,0.25,0.2857,4,7,影响吃饭,一直咳但痰发白,影响加饭,一直痰痰发白,0.03570000000000001
158,0.25,0.2857,4,7,关节疼痛,脑子有点不清楚,关节疼疼,脑块有点不清痛,0.03570000000000001
159,0.25,0.2857,4,7,不算厉害,小腿会突然抽筋,不酸厉害,小腿会突然来抽劲,0.03570000000000001
160,0.25,0.2857,8,7,肚子疼一直没缓解,会不会拖成大病,肚子疼一子没缓前,会不会拖近大题,0.03570000000000001
161,0.25,0.2857,4,7,声音变哑,一直哭又不吃奶,声音变,直哭又不喝奶,0.03570000000000001
162,0.25,0.2857,8,7,最近几天特别明显,一直没完全恢复,最近近点特别明显,一直没完觉恢服,0.03570000000000001
163,0.25,0.2857,4,7,心脏那块,整个人冷飕飕的,心跳那块,整个人冷身烧的,0.03570000000000001
164,0.25,0.2857,4,7,拍过片子,说话声音变粗了,拍过片重,说话心音变肤了,0.03570000000000001
165,0.25,0.2857,8,7,心里烦躁又头发昏,肚子像被拧着疼,身里烦躁头发昏,肚子像被年了疼,0.03570000000000001
166,0.2222,0.2857,9,7,小疙瘩加上皮肤刺痛,喉咙痒咳嗽吐痰,小疙痰加上皮刺痛,发咙痒咳色吐痰,0.0635
167,0.2222,0.2857,9,7,没有精神还心里发慌,流鼻血还头发昏,没有精神还心力慌,流皮血还头发,0.0635
168,0.2222,0.2857,9,7,皮肤发痒还睡不着觉,最近特别容易烦,皮肤发痒还着觉,最近特别容一黄,0.0635
169,0.2222,0.2857,9,7,鼻子发痒加上流眼泪,最近特别爱喝水,鼻子发痒加上又完泪,最近特别来吃水,0.0635
170,0.2222,0.2727,9,11,体温升高还全身无力,吞咽困难加上吞咽异物感,体身高还全身无力,吞咽睡难加上吞咽有感,0.05049999999999999
171,0.2222,0.2727,9,11,喝奶少还身上起红点,胃里反酸水又胸口烧得慌,红奶少还上起红点,里反酸水胸口也烧得慌,0.05049999999999999
172,0.2222,0.25,9,4,晚上起夜多又老犯困,小腹这里,腿喘上起夜多又老犯困,小腹过里,0.02779999999999999
173,0.2222,0.25,9,8,肤色变深还长青春痘,掉皮同时皮肤发红,呼色便深还长青春痘,掉鼻同时鼻肤发红,0.02779999999999999
174,0.2,0.25,5,8,比以前厉害,脑袋疼加上嗓子疼,比前厉害,脑子疼加上嗓是疼,0.04999999999999999
175,0.2,0.25,5,4,需要忌口吗,夜里出汗,需要正口吗,压里出汗,0.04999999999999999
176,0.2,0.25,5,4,身上起红点,严不严重,身上起红得,眼不严重,0.04999999999999999
177,0.2,0.25,5,4,还能拖多久,心里发慌,还子拖多久,听里发慌,0.04999999999999999
178,0.2,0.25,5,4,没有过敏史,鼻子里面,没得过敏史,鼻子后面,0.04999999999999999
179,0.2,0.25,5,4,吃过止咳药,小便带血,吃过止子咳药,小便大血,0.04999999999999999
180,0.2,0.25,10,4,大便变细并且排便费力,上面一点,大便变细并且大变费力,上面点,0.04999999999999999
181,0.2,0.25,5,4,还没去医院,左边胸口,还没去医,说左边胸口,0.04999999999999999
182,0.2,0.25,5,4,有抽烟习惯,睡眠不好,有抽烟西惯,睡不好,0.04999999999999999
183,0.2,0.25,10,4,耳朵嗡嗡响还听力变差,比昨天重,朵嗡响还听力变差,比作天重,0.04999999999999999
184,0.2,0.25,10,4,吐出来的东西颜色很深,身体发烫,吐出的东西严颜色很深,身体烫,0.04999999999999999
185,0.2,0.25,5,4,一点小问题,不太正常,一点小题,不太常,0.04999999999999999
186,0.2,0.25,5,8,痛得受不了,心跳乱又说话含糊,睡得受不了,心跳乱还说话还糊,0.04999999999999999
187,0.2,0.25,5,8,昨晚没睡好,做什么都提不起劲,昨晚没困好,肚什么提不起劲,0.04999999999999999
188,0.2,0.25,5,8,多饮伴口干,这两个月特别明显,多隐伴口干,这两咙越特别明显,0.04999999999999999
189,0.2,0.25,5,8,要不要打针,尿刺痛还小便带血,要不要打紧,尿次痛还小便带热,0.04999999999999999
190,0.2,0.25,10,8,手脚突然没力气站不稳,肠胃不好又没食欲,手指突然没力气了不稳,肠胃不好又没月事,0.04999999999999999
